FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20
70,0,0.072549916,11.3744976,25.56378601,32.35236879,37.6524965,43.34249162,55.04137446,55.9537965,64.64910578,89.25091684,91.51002772,95.9043937,98.46979332,99.83962915,96.24171904,91.17486471,51.40009145,1.018747142,0.209114464
71,0.000611172,0.029947439,10.59222589,25.53905391,32.52323522,37.11567861,43.0265913,55.63469145,57.08219078,64.03698221,87.66971126,90.29514214,94.40865927,97.53460208,99.48928155,93.63731224,87.17873867,36.93278464,0.292525695,0.188241046
72,0,0.045837917,10.8506519,25.78875171,31.11536824,36.58909462,42.54296736,56.59139994,56.79948555,65.69317382,86.39631571,91.27250995,95.01071928,97.58816303,98.65530555,91.67463478,83.26579145,37.34537493,0.399329371,0.17741198
73,0.001222344,0.062185642,12.24972497,27.27876848,32.9702609,39.01599465,44.24177872,57.83202698,57.82232037,65.51178141,83.28574275,89.8055527,94.51853015,97.71722414,99.48747049,96.0124002,90.27578927,47.14037494,0.65965554,0.157902759
74,0.000609663,0.116122723,12.00740124,27.47934766,32.35176063,38.69482395,44.57341354,59.62835788,58.82088864,67.02835841,88.66760439,91.96916371,96.1549116,98.33489907,99.40632527,93.8029314,85.86754242,41.15775034,1.058375248,0.135345222
75,0.004889378,0.116122723,12.20816526,26.20095343,32.11495062,38.00766284,44.97763343,59.47608532,59.71935742,67.59991749,89.15650985,92.2955423,95.32928059,95.63159416,96.84996589,79.20114538,63.75488364,15.53848499,0.220762635,0.184727938
76,0.003055861,0.056089011,11.0142388,24.57491236,31.5033753,37.31709093,44.02815265,57.81746706,59.62593123,68.41830668,89.74035461,94.10681622,97.17837113,97.62651384,97.58414931,79.59961753,67.94207576,23.83843926,0.520042676,0.173144338
77,0,0.086786456,10.76763232,25.51745161,31.82022745,37.54789272,43.28136914,58.5666966,58.59217647,65.73867359,87.29923385,91.80677215,95.73095823,98.66009057,99.47177466,91.09599845,83.53889193,32.21431612,0.635878677,0.19740863
78,0.000611172,0.123761622,11.29484854,24.75064173,30.41537432,36.55512145,43.28560535,56.0320561,56.84619865,62.80848844,84.46594909,89.02559025,93.77599623,97.53820646,99.18967333,91.05292533,84.13938703,32.05426002,0.464635407,0.162780064
79,0.001828989,0.164405329,11.46823841,24.73342478,32.09735737,36.36197774,43.43400805,54.97342813,57.46924216,63.99099503,84.14144104,89.88090195,94.0935588,97.50024088,99.2309039,93.18696215,87.02649907,38.86907484,1.132754153,0.159122085
