FID,avEG200309,avEG200320,avEG200401,avEG200407,avEG200416,avEG200423,avEG200430,avEG200507,avEG200514,avEG200520,avEG200528,avEG200604,avEG200611,avEG200618,avEG200624,avEG200702,avEG200707,avEG200715,avEG200721,avEG200730,avEG200805
"6003",-0.017466738820076,-0.010413323529065,-0.00294446060434,0.032525945454836,0.036471333354712,0.05126640573144,0.078672707080841,0.088499747216702,0.104963734745979,0.13018511235714,0.197037816047668,0.233912080526352,0.246710181236267,0.222408786416054,0.249187618494034,0.189668148756027,0.178681582212448,0.084757998585701,-0.005671283695847,-0.041550766676664,-0.020510917529464
"6004",-0.018684795126319,-0.009720330126584,-0.005336979404092,0.031510844826698,0.039086151868105,0.053603205829859,0.077997580170631,0.088275246322155,0.098408274352551,0.128326788544655,0.198950111865997,0.228686302900314,0.247303411364555,0.216819912195206,0.248037070035934,0.192611530423164,0.177925556898117,0.086754895746708,0.000470725673949,-0.042588826268911,-0.022048495709896
"6005",-0.018714031204581,-0.009607441723347,-0.002218328882009,0.030445048585534,0.040836397558451,0.054075144231319,0.076904200017452,0.089253552258015,0.096948854625225,0.128913357853889,0.199458226561546,0.227034240961075,0.241878852248192,0.210293337702751,0.241565838456154,0.179153800010681,0.166406527161598,0.07351965457201,-0.003850301029161,-0.042535625398159,-0.022207420319319
"6006",-0.016808098182082,-0.010903280228376,-0.005981692578644,0.03216103464365,0.035325303673744,0.051477856934071,0.074296474456787,0.08849686384201,0.099530175328255,0.126656532287598,0.188070565462112,0.21785281598568,0.224780380725861,0.195562914013863,0.228099524974823,0.151890441775322,0.135683834552765,0.04221798479557,-0.01099291164428,-0.03967197611928,-0.02242879755795
"6007",-0.01477488130331,-0.011606534011662,-0.006310780998319,0.028621165081859,0.033771205693483,0.049129702150822,0.076260030269623,0.083623930811882,0.092556409537792,0.122911103069782,0.192823737859726,0.226299464702606,0.235962271690369,0.20626163482666,0.241166040301323,0.178332462906837,0.165837377309799,0.06029624119401,-0.005278458818793,-0.037701480090618,-0.024854466319084
"6008",-0.017836386337876,-0.011160569265485,-0.003917636349797,0.024877680465579,0.034809220582247,0.051663193851709,0.071460910141468,0.083783783018589,0.100127093493938,0.130345180630684,0.199406370520592,0.230351135134697,0.242930203676224,0.214528977870941,0.247858881950378,0.190172240138054,0.189372941851616,0.081145890057087,-0.001541489386,-0.041336562484503,-0.024557575583458
"6009",-0.015386008657515,-0.008690852671862,-0.002579325577244,0.024878859519958,0.038043048232794,0.047745492309332,0.070162937045097,0.083375878632069,0.105698190629482,0.127610400319099,0.195312842726707,0.220092669129372,0.237391278147697,0.204416915774345,0.23250612616539,0.162871584296227,0.145227253437042,0.046505857259035,-0.010148725472391,-0.037114735692739,-0.02456901781261
"6010",-0.014511651359499,-0.007603570818901,-0.000468139594886,0.025369103997946,0.039191652089357,0.050843842327595,0.075921192765236,0.084977932274342,0.105553261935711,0.128956362605095,0.201634719967842,0.223738372325897,0.23517544567585,0.207435593008995,0.240114837884903,0.180728882551193,0.166280120611191,0.061540622264147,-0.008910628966987,-0.038938988000154,-0.024992488324642
"6011",-0.016623327508569,-0.009587834589183,0.00276635424234,0.024497509002686,0.036477696150541,0.050803825259209,0.077487967908382,0.086026735603809,0.108343444764614,0.138271272182465,0.204349830746651,0.233741909265518,0.242624163627625,0.217255145311356,0.25305837392807,0.18527814745903,0.173583149909973,0.077173605561256,-0.009942218661308,-0.045429725199938,-0.023354610428214
"6012",-0.014699330553412,-0.010353608988225,0.007300535216928,0.02070920355618,0.039766300469637,0.048374697566032,0.073954895138741,0.086303204298019,0.106978200376034,0.134590074419975,0.202633082866669,0.234187215566635,0.248000651597977,0.221385955810547,0.261369228363037,0.196187704801559,0.19492980837822,0.110180415213108,0.00274276221171,-0.039007652550936,-0.020917261019349
"6013",-0.014420616440475,-0.009187460877001,0.011728705838323,0.028802426531911,0.037433341145515,0.052854031324387,0.07836589962244,0.089695818722248,0.107873573899269,0.132482171058655,0.199316039681435,0.233448520302773,0.253451734781265,0.225959822535515,0.264844208955765,0.20072714984417,0.203355386853218,0.124905340373516,-0.000508024648298,-0.036433015018702,-0.02014397084713
