FID,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,150eg20
52,-0.013536108,-0.014911868,0.001441809,0.026404163,0.041590814,0.059093937,0.074191011,0.090918131,0.112907268,0.143441871,0.22418189,0.246479377,0.266331851,0.306463242,0.31291011,0.250240952,0.242700994,0.124086075,-0.013480447,-0.033533089,-0.006069543
53,-0.013047296,-0.017245555,-0.005575016,0.019299317,0.027483389,0.043041833,0.068609595,0.089622438,0.115318641,0.155104741,0.24967885,0.263217837,0.274663746,0.301163644,0.311732203,0.250051349,0.237540618,0.139944151,0.002987112,-0.034946106,-0.003068084
54,-0.009497633,-0.011307714,-0.005414262,0.009741107,0.022803724,0.042028457,0.067641795,0.092273645,0.115988158,0.167083517,0.265083283,0.279972702,0.269900173,0.298114479,0.303538889,0.245576352,0.233960822,0.135781482,-0.002364533,-0.035553195,-0.002182212
55,-0.007640667,-0.010968774,-0.00457973,0.013111794,0.023430867,0.039780907,0.071039341,0.092199266,0.114133336,0.15910928,0.245616809,0.26759091,0.254128277,0.279784054,0.275009751,0.232277259,0.217193156,0.11321301,-0.003553847,-0.034448229,-0.001192188
56,-0.011291748,-0.012834729,-0.00949337,0.00920815,0.016576184,0.030179143,0.060575511,0.080685303,0.104276575,0.151151359,0.238769874,0.268856287,0.260527343,0.294900388,0.284166664,0.223560482,0.217593029,0.098057009,-0.012543794,-0.034047142,-0.005630855
57,-0.010134829,-0.012881553,-0.00248823,0.013373732,0.0266228,0.042622883,0.070367344,0.088287994,0.11269699,0.154598191,0.23791641,0.262946427,0.255549759,0.282931805,0.27447626,0.210977048,0.18425478,0.059596904,-0.023507236,-0.036931612,-0.005450559
58,-0.011173144,-0.015082155,-0.007119287,0.012816774,0.023193406,0.039649263,0.061850332,0.080633067,0.109703973,0.149862036,0.231318712,0.256799638,0.255891532,0.286898881,0.289671749,0.234567523,0.217001796,0.109651059,-0.010290337,-0.036637895,-0.005808469
59,-0.010568104,-0.015515294,-0.010643187,0.008606367,0.019050373,0.032510672,0.054933827,0.074745238,0.103235319,0.148939118,0.243913203,0.263530284,0.268278211,0.294843048,0.297848523,0.241298005,0.236108214,0.130555958,-0.012196427,-0.030503608,-0.002694728
60,-0.005551754,-0.014157648,-0.012905513,0.007216729,0.014737371,0.028425731,0.055058397,0.077763766,0.105772786,0.157950684,0.25853169,0.263650149,0.271612316,0.286868304,0.292906344,0.245552808,0.237497509,0.123001374,-0.005148054,-0.036634978,-0.004901095
61,-0.006310241,-0.011989888,-0.008426754,0.01074403,0.02176974,0.033355016,0.057780471,0.082565106,0.108593129,0.157482713,0.273735613,0.275637865,0.281816304,0.303348124,0.301382393,0.251095951,0.242074102,0.137771517,-0.000659043,-0.030667102,-0.00258609
62,-0.010827392,-0.011309135,-0.00377141,0.02038547,0.031540293,0.049821895,0.069183618,0.090459093,0.113515794,0.150507927,0.248409197,0.263348043,0.276576847,0.301131517,0.300850034,0.249598861,0.237150043,0.117707625,-0.012612505,-0.030964749,-0.004484108
