FID,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,150ch20
3268,0,0.021673298,0.089972878,0.113077211,0.208443642,0.215932131,0.338869667,0.435224009,0.514517879,0.683047056,0.762176561,0.831281662,0.833922577,0.901977062,0.727971125,0.778129768,0.817636347,0.568130493,0.457416821,0.836027765,0.043990278
3269,0,0.022245693,0.086672115,0.107251406,0.204282761,0.202257252,0.332449198,0.429062223,0.497520018,0.655526257,0.739643717,0.797705936,0.795186186,0.857535458,0.68450079,0.717929554,0.759051323,0.523054743,0.438914299,0.809235907,0.043611622
3270,0,0.021404266,0.089167833,0.108839512,0.208070898,0.20037117,0.322931004,0.429051971,0.498266411,0.659401131,0.729653597,0.790061617,0.777757645,0.857467556,0.682103539,0.714281559,0.763776875,0.51356678,0.436390924,0.77697711,0.041992569
3271,0,0.02155695,0.087583733,0.11054244,0.211241293,0.212075472,0.329703617,0.422688723,0.515850687,0.674473763,0.749870729,0.810682011,0.80990901,0.887148094,0.716893339,0.769308233,0.803169107,0.565755129,0.461773252,0.787912273,0.041996956
3272,0,0.021762657,0.085790682,0.10772047,0.211586475,0.218791103,0.328436852,0.428529835,0.514304733,0.682540941,0.749308634,0.801151323,0.811572313,0.883169317,0.70831604,0.779815102,0.810031509,0.570991564,0.464117432,0.785259056,0.039674473
3273,0,0.021244192,0.084512901,0.106548786,0.198108959,0.202995348,0.310893679,0.414363861,0.511647367,0.670790195,0.729484129,0.787957907,0.794466114,0.875306559,0.686103821,0.745119286,0.773565626,0.55334568,0.44378376,0.743238449,0.037667322
3274,0,0.020853996,0.085388327,0.104912949,0.201712036,0.189598083,0.308407259,0.418450308,0.522826719,0.695386314,0.759027004,0.827332592,0.835388374,0.922380638,0.744656229,0.824558258,0.854427385,0.642785406,0.466035032,0.782711983,0.043803644
3275,0,0.020554543,0.084980154,0.107781696,0.206266737,0.193802881,0.322571087,0.435353565,0.545797443,0.726519728,0.777006531,0.85297637,0.863833284,0.943628359,0.76877346,0.846488237,0.884100008,0.68020525,0.494666481,0.795920372,0.037670374
3276,0,0.021871662,0.084879923,0.108620024,0.207579088,0.19435091,0.314500809,0.419484806,0.507981062,0.670133734,0.716643333,0.78653183,0.783156395,0.876288128,0.682482862,0.751930523,0.775041676,0.535873318,0.443792629,0.717152071,0.043154812
3277,0,0.019683886,0.082251596,0.102528763,0.198123789,0.180187225,0.311621714,0.42098732,0.511359596,0.688960123,0.732820749,0.807479668,0.806951141,0.916115236,0.717236614,0.798729038,0.835859251,0.637191057,0.459802198,0.74268446,0.041427851
