FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20
2178,0,0.567167828,7.793057083,25.13824112,33.16183178,34.72663139,43.1513747,55.77179742,59.53450091,64.97913077,81.77411273,95.18100725,92.60907099,98.4216168,97.92546689,93.85207115,93.06037516,52.231672,1.960712765,0.065395428,0,-0.007790327,0.069328403,0.073059273,0.172314358,0.19274354,0.304146862,0.432183313,0.553193045,0.695648623,0.8327775,0.883265972,0.863563204,0.985510349,0.791968966,0.832834339,0.867248058,0.716914368,0.459573841,0.625551319,-0.012563771,-0.006417918,0.01446886,0.035496507,0.052494861,0.063854136,0.08597254,0.101916157,0.118249528,0.144901946,0.209433317,0.244620562,0.266992092,0.226170123,0.260749549,0.193138584,0.181595936,0.096854411,0.000462691,-0.022294519
2179,0.000611172,0.383540829,8.14013332,24.49578291,32.33714373,35.22085048,45.51445758,57.1968502,62.58699362,67.10488,85.29722485,95.66975955,95.82972009,99.70359012,99.4934359,97.18932757,95.86693426,54.06188081,2.773216566,0.094120523,0,-0.007052326,0.069062567,0.076105642,0.172448254,0.198580313,0.312508917,0.437275219,0.570431852,0.712297821,0.843045664,0.889585686,0.876081753,0.986717844,0.799880075,0.839658022,0.868663549,0.733783674,0.490190077,0.617300367,-0.011489771,-0.006728301,0.018052144,0.033151966,0.049701806,0.06669125,0.091194384,0.105663404,0.124476366,0.152719557,0.2231538,0.247161761,0.281801581,0.23640275,0.274154693,0.200396985,0.192039996,0.10356614,0.002628586,-0.020405546
2180,0,0.416013136,8.060139347,25.40710258,33.11263527,35.68144499,43.38979349,55.28949987,59.98656516,64.38375231,81.53435567,93.79108839,93.78927733,99.52245026,99.61268927,98.82959538,98.92135213,61.913123,2.189448907,0.059894878,0,-0.006527662,0.067556429,0.076056576,0.173301792,0.208098459,0.311754274,0.424190903,0.541493034,0.665788841,0.808209562,0.858680582,0.840596819,0.950613832,0.767792559,0.795731783,0.828217173,0.666752625,0.463773012,0.580803823,-0.00804194,-0.00515753,0.016687172,0.035662416,0.052423004,0.067909844,0.084146388,0.099323213,0.115124002,0.141232222,0.209747508,0.235449642,0.272809029,0.228523836,0.276245832,0.206410587,0.199737623,0.110704809,0.002404159,-0.020739231
2181,0,0.469991444,7.73943731,25.97652797,32.70964792,35.8658741,44.04377684,56.25773496,61.22353881,64.10614186,81.29176753,95.63353839,93.91831671,99.45728619,99.75066872,98.78667281,99.15127763,71.22146014,2.687465791,0.117635526,0,-0.00695219,0.070780897,0.078977394,0.181344509,0.213161612,0.31568284,0.431491137,0.561545849,0.677227974,0.819751263,0.893185282,0.871236467,0.977703953,0.806146526,0.842112017,0.889563942,0.733500767,0.474215269,0.614451694,-0.007639178,-0.006024802,0.015647762,0.038948584,0.050323095,0.068507709,0.085544087,0.100328453,0.117845811,0.138813153,0.209085062,0.246917889,0.278905809,0.22646673,0.282376617,0.212262228,0.216862321,0.1321536,0.003534144,-0.01879058
2182,0,0.630452897,7.938559945,25.61361692,32.05862677,35.4314906,43.53539275,56.33053459,60.06039627,63.39209881,79.49673812,93.82420934,92.98939324,99.06898877,99.21861729,98.15756267,99.00504774,68.11956456,2.166271362,0.100232245,0,-0.009535742,0.069154453,0.078145218,0.179890633,0.203239822,0.309933901,0.422800636,0.54447298,0.665910292,0.808128023,0.874576569,0.859139442,0.962913465,0.784111309,0.812007236,0.856049538,0.69175725,0.456522369,0.592053223,-0.00780907,-0.007625963,0.014845972,0.037064794,0.047344003,0.067667529,0.08368472,0.104541875,0.113315657,0.135598034,0.200053588,0.235355288,0.265883684,0.228146166,0.27554819,0.20888111,0.208588779,0.123999082,0.005214741,-0.019177457
2183,0,0.337589452,8.333944506,24.18167962,31.37509526,34.62520957,43.58274531,54.54451697,60.2637344,62.6841224,80.71041781,94.51732277,93.39018163,99.73015231,99.78758427,98.95849723,99.10577786,69.58695321,2.907620264,0.094120523,0,-0.009038687,0.069989252,0.073749161,0.175704241,0.197440624,0.295087242,0.420339727,0.543856621,0.669368792,0.805948114,0.883565378,0.881120586,0.96495347,0.8103827,0.845687485,0.889155054,0.692615509,0.461268568,0.611720228,-0.009883065,-0.006514779,0.014140945,0.032556895,0.047139037,0.063907988,0.08545889,0.098889023,0.114487939,0.135787517,0.208519563,0.238686785,0.273778379,0.240765989,0.279263914,0.214020565,0.208936974,0.122384734,0.005699879,-0.018796356
2184,0,0.760298252,8.372340947,23.98171011,30.67215364,34.83670863,44.80331966,53.81288068,59.56570821,61.38282899,77.55897411,92.69358704,91.28277261,99.34681163,99.22589726,96.62998374,95.25103739,46.15393995,0.887548836,0.06845129,0,-0.006894016,0.070595884,0.0776721,0.179802561,0.208263588,0.293748093,0.411655903,0.522745132,0.633333492,0.766170692,0.83299799,0.809591722,0.894500446,0.729231215,0.744065332,0.786978769,0.571481895,0.419922209,0.545569658,-0.008850851,-0.007834601,0.014952946,0.032711983,0.047457907,0.066560164,0.090003155,0.098242238,0.110412464,0.130802378,0.192630783,0.227227256,0.258544505,0.231012166,0.26604411,0.200769231,0.181314275,0.086294957,-0.005668149,-0.019033249
2185,0,0.438069797,7.288228823,23.08855357,30.50599039,33.79119037,42.1849596,52.0996627,58.70843974,60.80596943,77.08769748,92.28428786,88.93262259,97.94105603,95.65122669,70.70724842,60.52910053,9.504648682,0.343611263,0.071507151,0,-0.009463596,0.0698349,0.076346779,0.17750721,0.195255852,0.283535433,0.392718792,0.511788654,0.62670064,0.763813305,0.833729506,0.813103151,0.892348528,0.728310013,0.70712347,0.732690525,0.516878128,0.408641481,0.517530632,-0.009675593,-0.008581372,0.011956082,0.032076854,0.044936135,0.062748104,0.082350969,0.093380451,0.110704929,0.126969427,0.190898493,0.226722091,0.250369847,0.219637245,0.234425828,0.136863366,0.108385682,0.025559187,-0.015469739,-0.017340321
2186,0,0.80919203,8.186697383,23.62058428,30.3484225,33.33394149,42.47225282,54.22662525,59.00800039,60.86291829,78.61258034,94.41047033,89.55894397,96.96768468,92.7497634,66.97687398,58.65526948,9.932632221,0.254211519,0.059894878,0,-0.009768438,0.068311691,0.074778557,0.176013327,0.197457743,0.285526466,0.411640263,0.532017803,0.647972584,0.787738943,0.858275414,0.838789272,0.910477114,0.762126303,0.739630318,0.770196342,0.544998598,0.426246691,0.533830023,-0.012542283,-0.010708417,0.012397417,0.033035971,0.046294238,0.062792152,0.082803026,0.100386433,0.110099353,0.125955626,0.198597446,0.235928431,0.251845598,0.211605653,0.225889504,0.130148694,0.099621072,0.02544838,-0.018082254,-0.018111318
2187,0,0.828962847,8.688424398,24.44200579,31.69272977,33.82472184,43.0330753,54.40686992,59.66521829,64.18197481,80.73818737,94.56917733,91.89008083,98.42041239,96.41556021,83.72992339,77.2112888,19.41494861,0.637961443,0.077198314,0,-0.011977196,0.067082644,0.073769665,0.171722507,0.182161808,0.279056311,0.405711174,0.520960474,0.662562609,0.779258394,0.857328987,0.85386548,0.91435914,0.754543638,0.769596434,0.797516394,0.591272354,0.420591974,0.548120546,-0.014922311,-0.007196714,0.015543896,0.033765562,0.049524564,0.063502744,0.085319683,0.101102985,0.114673428,0.142100468,0.206090525,0.241745979,0.266626388,0.226456806,0.245330036,0.172065347,0.139168859,0.045523521,-0.012489445,-0.021315435
