FID,avEG210326,avEG210407,avEG210419,avEG210429,avEG210505,avEG210513,avEG210520,avEG210527,avEG210602,avEG210610,avEG210617,avEG210624,avEG210630,avEG210709,avEG210714,avEG210719,avEG210727,avEG210804,avEG210806,sdEG210326,sdEG210407,sdEG210419,sdEG210429,sdEG210505,sdEG210513,sdEG210520,sdEG210527,sdEG210602,sdEG210610,sdEG210617,sdEG210624,sdEG210630,sdEG210709,sdEG210714,sdEG210719,sdEG210727,sdEG210804,sdEG210806
"1137",-0.013133950531483,0.000287578295683,0.016419988125563,0.034527678042650,0.081958949565887,0.135546743869781,0.210687965154648,0.238174781203270,0.321671605110168,0.331213206052780,0.288206577301025,0.273958235979080,0.289802521467209,0.263753175735474,0.241281867027283,0.233813539147377,0.191744893789291,-0.004222022835165,-0.029203360900283,0.009223128668964,0.013996711932123,0.045124404132366,0.058234624564648,0.114103250205517,0.133693084120750,0.155865550041199,0.119403667747974,0.163657456636429,0.119299620389938,0.076610542833805,0.073094338178635,0.095410123467445,0.073702037334442,0.074595674872398,0.086590714752674,0.081947207450867,0.031403552740812,0.035241607576609
"1138",-0.014420419931412,-0.005587413441390,0.017868975177407,0.034273810684681,0.081009678542614,0.137075185775757,0.209910809993744,0.244579970836639,0.320289343595505,0.337958872318268,0.278448939323425,0.267063081264496,0.291897773742676,0.255898624658585,0.239373669028282,0.231553643941879,0.190494567155838,-0.006770006380975,-0.028513854369521,0.010025862604380,0.014481334015727,0.045395709574223,0.057353980839252,0.115262046456337,0.132397100329399,0.151621356606483,0.119538493454456,0.152697384357452,0.112674884498119,0.064992800354958,0.061549037694931,0.088586628437042,0.053254943341017,0.068466730415821,0.072222217917442,0.078028269112110,0.031007830053568,0.035311065614223
"1139",-0.010531264357269,-0.006731288973242,0.014348590746522,0.027109041810036,0.079378642141819,0.132420673966408,0.201223582029343,0.224898591637611,0.310854434967041,0.314532309770584,0.263613760471344,0.266160041093826,0.285795450210571,0.249706685543060,0.243072479963303,0.226311534643173,0.182924732565880,-0.008698228746653,-0.027921158820391,0.009314608760178,0.013384572230279,0.042459338903427,0.054073508828878,0.110785417258739,0.137147665023804,0.158345475792885,0.123232737183571,0.161703184247017,0.106031306087971,0.054959129542112,0.056716173887253,0.073029562830925,0.046938341110945,0.070409566164017,0.064977087080479,0.079754725098610,0.032185867428780,0.035931859165430
"1140",-0.011000474914908,-0.003366713644937,0.011726438999176,0.029849894344807,0.078682541847229,0.142610400915146,0.205084413290024,0.232713580131531,0.320080637931824,0.323219954967499,0.266428560018539,0.265208929777145,0.285460412502289,0.258896231651306,0.242397293448448,0.222103819251060,0.187186941504478,-0.006600259337574,-0.028709890320897,0.009211239404976,0.014373534359038,0.044560167938471,0.055524490773678,0.112326718866825,0.137496918439865,0.153194531798363,0.121261201798916,0.162292793393135,0.116461902856827,0.057741235941648,0.059292498975992,0.075300268828869,0.051839672029018,0.072248466312885,0.066977024078369,0.085314616560936,0.029762201011181,0.035533305257559
"1141",-0.010859783738852,-0.004715631715953,0.007652425672859,0.027099331840873,0.074674919247627,0.133230984210968,0.197269722819328,0.218382626771927,0.305246591567993,0.304789930582047,0.253541082143784,0.266496717929840,0.280690044164658,0.258162289857864,0.242054134607315,0.228230625391006,0.184881523251534,-0.007063786964864,-0.028281465172768,0.008632701821625,0.012863972224295,0.040488898754120,0.053092274814844,0.108069404959679,0.136410579085350,0.155476197600365,0.121570080518723,0.159119173884392,0.118901886045933,0.062091886997223,0.063915692269802,0.071060642600060,0.053599063307047,0.074839524924755,0.076065532863140,0.081744372844696,0.029865277931094,0.036215256899595
"1142",-0.010266047902405,-0.002867368515581,0.013728475198150,0.031909067183733,0.077527329325676,0.141808122396469,0.200908005237579,0.229619219899178,0.309227377176285,0.307989478111267,0.257487744092941,0.269982546567917,0.274045467376709,0.265618145465851,0.238757044076920,0.232862398028374,0.175970315933228,-0.005530251655728,-0.021974049508572,0.008863489143550,0.013775704428554,0.043667733669281,0.054359763860703,0.112225621938705,0.140797525644302,0.153505891561508,0.122937373816967,0.159419819712639,0.118118494749069,0.059521943330765,0.067886106669903,0.064534284174442,0.060818787664175,0.071542531251907,0.082876332104206,0.082091614603996,0.030145257711411,0.033946149051189
"1143",-0.012793731875718,-0.004792820196599,0.011010287329555,0.032814830541611,0.075658977031708,0.138618081808090,0.198750272393227,0.223873049020767,0.304333329200745,0.305713295936584,0.263939291238785,0.279152989387512,0.267254739999771,0.268689990043640,0.241676717996597,0.235158920288086,0.179760843515396,-0.009493204765022,-0.028230253607035,0.009428633376956,0.013885819353163,0.041014894843102,0.052195340394974,0.109018705785275,0.137470632791519,0.152925804257393,0.124416656792164,0.157530382275581,0.123604945838451,0.065453283488750,0.078382134437561,0.063916780054569,0.070083305239677,0.071875207126141,0.079795002937317,0.082853108644485,0.030604936182499,0.034571323543787
"1144",-0.008757431060076,-0.001416504965164,0.010626448318362,0.030793046578765,0.076983995735645,0.139540821313858,0.208853617310524,0.226692840456963,0.315018624067307,0.320873111486435,0.270323336124420,0.291481792926788,0.272429525852203,0.272765457630157,0.243313029408455,0.241019442677498,0.185891404747963,-0.009253608994186,-0.027849676087499,0.009016038849950,0.013687521219254,0.041022505611181,0.052982434630394,0.109296537935734,0.140536174178123,0.157739236950874,0.123894266784191,0.161321133375168,0.126904740929604,0.063439473509789,0.076133467257023,0.065899707376957,0.073500007390976,0.071902155876160,0.081097736954689,0.082771904766560,0.030556617304683,0.035536378622055
"1145",-0.009500711224973,-0.001081336755306,0.015086744911969,0.033559072762728,0.078321143984795,0.137069538235664,0.204516768455505,0.233655855059624,0.319461196660995,0.331235200166702,0.281776815652847,0.294438302516937,0.276191681623459,0.275129616260529,0.245488211512566,0.234607577323914,0.192750677466393,-0.012754123657942,-0.029817642644048,0.008708011358976,0.013216658495367,0.042515825480223,0.053465738892555,0.111785881221294,0.135237753391266,0.151305258274078,0.121215149760246,0.155014067888260,0.125876024365425,0.063629843294621,0.072008505463600,0.064342439174652,0.072936765849590,0.070442035794258,0.073441550135612,0.083987489342690,0.032000966370106,0.035295095294714
"1146",-0.008569028228521,-0.001324647106230,0.018914552405477,0.037483338266611,0.081533543765545,0.140767440199852,0.216450944542885,0.243312373757362,0.331765204668045,0.326874196529388,0.278722971677780,0.289571613073349,0.273876786231995,0.269699126482010,0.248251587152481,0.228396043181419,0.196344256401062,-0.007229918614030,-0.028690578415990,0.008520134724677,0.014772935770452,0.045738503336906,0.058955863118172,0.114019103348255,0.137899875640869,0.156325668096542,0.116629138588905,0.157175123691559,0.113422140479088,0.054647311568260,0.073062121868134,0.054968990385532,0.049905505031347,0.059180624783039,0.055341217666864,0.087121710181236,0.031274043023586,0.036651153117418
