,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,132cc21,134cc21
3420,0,0.180129399,8.738911751,12.7458493,20.86694102,38.64623244,51.10866642,74.85285151,90.88004877,95.57538296,95.88556734,97.66299382,98.09943564,98.32929363,99.03789304,96.35344529,96.0342365,0.726289734,0.403187302
3421,0,0.177065974,7.898789879,12.91205609,20.09571712,38.9672159,55.15206842,77.65761731,96.61227234,99.08626713,99.17226552,99.28961749,99.85749491,99.8539214,99.89430544,98.3779865,98.19348576,2.057532486,1.021761504
3422,0.000612685,0.30082835,8.565767414,13.85764365,22.26479353,38.55468466,53.7807114,75.58814119,92.9498552,97.30717549,91.50873421,96.693362,98.33700618,98.1215374,98.78527278,95.20104744,92.89084141,1.207225986,0.597353818
3423,0,0.044726007,3.379362902,6.747142204,14.24599909,30.76937077,42.50257328,58.04804134,74.87639079,83.1625907,80.07393121,85.63074442,88.45280189,89.49965374,90.97124429,85.52631579,81.94252078,0.487969589,0.286475188
3424,0,0,0.078646548,0.467068053,1.392899609,6.090902473,10.12834617,16.27975938,24.46950251,36.22574577,43.57762777,47.63205829,53.49405336,62.59119333,64.06033587,63.71082929,68.51843837,3.322042731,0.867913718
3425,0,0,0.591373266,3.050144795,4.72115794,16.69962872,27.18488035,40.34264896,58.0752934,76.99882139,82.04857106,87.39373745,92.51569909,94.58859938,95.93075928,92.32059384,92.30869114,0.876471607,0.681174336
3426,0,0.000612685,0.834250092,2.724584667,5.975795171,18.42922663,29.43160983,42.23167269,61.40405426,81.30287557,80.62466517,85.43876567,87.79492125,92.1994027,93.94628991,90.53951697,90.27933563,1.25933646,0.731042239
3427,0,0.00735222,1.147386069,3.407407407,6.724865927,16.95200078,26.00701113,36.39631571,51.77117712,69.63289438,73.30761813,75.93164042,78.24768252,84.7028653,86.90594702,82.42403913,84.04172438,1.404518698,0.423346667
3428,0,0.109057935,2.422801402,6.597944414,11.4954692,26.05134801,37.54308764,52.72569928,71.49276025,88.63853803,89.52432825,88.64112094,93.23904425,96.42391871,96.75043141,93.51627424,92.5067088,0.998744806,0.385149975
3429,0,0.333913342,8.226989366,14.00944978,20.65803077,39.25439397,54.32098765,70.3235255,85.13458314,98.99704381,99.28318869,98.48066002,99.56284153,99.69702216,99.87704918,98.70693386,94.19039993,1.085634879,0.431834821
