FID,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21
2937,-0.010718176,0.00640225,0.024891265,0.064169578,0.117069595,0.19560793,0.221043304,0.312041879,0.324323833,0.273776591,0.262190938,0.263229609,0.241860464,0.217150003,0.196165442,0.178084105,-0.004427569
2938,-0.012000666,0.008097045,0.02405183,0.063740738,0.110252269,0.199979305,0.2156239,0.307690561,0.321806818,0.274798393,0.265942901,0.260256201,0.245404288,0.21321173,0.191066861,0.172934934,-0.004244124
2939,-0.013847685,0.00372628,0.018048542,0.062869452,0.103532419,0.188157052,0.210256487,0.30006218,0.305463672,0.276365042,0.266588569,0.271349519,0.254430175,0.216440812,0.19105272,0.172979712,-0.00509472
2940,-0.010216482,0.006598075,0.018147325,0.0569181,0.101110347,0.179846048,0.206844151,0.302045673,0.301803142,0.275164723,0.263146847,0.270553648,0.252681732,0.216660559,0.198174268,0.174501598,-0.003687885
2941,-0.010675822,0.003261418,0.017481741,0.056846838,0.107156262,0.182713881,0.212800249,0.306276917,0.296221852,0.265457034,0.257103801,0.264651626,0.243754521,0.212206855,0.210427612,0.186363503,0.00254835
2942,-0.012730915,-0.002568024,0.017343862,0.0543149,0.102279715,0.182645559,0.215301752,0.307758123,0.300079167,0.261472911,0.26554653,0.265843064,0.240010157,0.219989643,0.21796003,0.181228951,-0.001538689
2943,-0.008274999,0.002363191,0.018085226,0.05177274,0.100155324,0.189444244,0.221476853,0.306959301,0.293455422,0.2828767,0.280781239,0.271163136,0.243045047,0.221911356,0.220360726,0.191613108,-1.04E-05
2944,-0.010239311,0.005297262,0.020385711,0.060781922,0.106235452,0.199241489,0.236240193,0.323165476,0.303712904,0.29645735,0.276480973,0.282954365,0.250662208,0.226459071,0.221633092,0.194056243,-0.005956485
2945,-0.00601651,0.013093386,0.028759548,0.0865051,0.134336367,0.233220801,0.264891565,0.331945986,0.313556463,0.306533575,0.281237632,0.295022815,0.263712198,0.242584884,0.237468287,0.193906054,-0.01162517
2946,-0.004411788,0.016342603,0.037805099,0.090237737,0.142112941,0.239018068,0.271120012,0.343117356,0.321482867,0.31170547,0.289316386,0.298777997,0.275429964,0.24667412,0.231388524,0.180435061,-0.014685581
2947,-0.00255758,0.010659616,0.028574185,0.080952629,0.132649288,0.221270412,0.25733909,0.328961402,0.324445367,0.315776736,0.288359344,0.297935426,0.282295257,0.246927664,0.238590434,0.185350075,-0.010922405
2948,-0.01201381,0.007506472,0.021182144,0.06261716,0.118268318,0.203137815,0.240099847,0.316128522,0.310946286,0.307611346,0.279064029,0.288119227,0.270895362,0.247506663,0.237927511,0.186726853,-0.010466392
2949,-0.014564916,0.005181269,0.017590161,0.056127343,0.109406032,0.187896654,0.217738435,0.298408508,0.311891109,0.285832494,0.274943411,0.278065383,0.256644607,0.239475995,0.223806977,0.172521457,-0.006046734
2950,-0.010343263,-0.002819798,0.012249778,0.044056278,0.089540765,0.17486909,0.201918423,0.280426592,0.305098474,0.28754276,0.271755874,0.27244392,0.248345345,0.236354664,0.226954117,0.186420694,-0.000508154
2951,-0.002392043,-0.001733967,0.009899999,0.050649077,0.090675697,0.178887174,0.207389414,0.293362558,0.318414479,0.293009937,0.271078736,0.270440608,0.245659783,0.237158984,0.229381159,0.217752755,0.008251258
2952,-0.003731877,-0.00292359,0.011688085,0.051611826,0.091765791,0.179688767,0.206928,0.295957148,0.321081519,0.294798255,0.281557143,0.279372394,0.243414506,0.231674194,0.224931687,0.217845991,0.00932755
2953,-0.006389345,0.003191638,0.021799695,0.067986675,0.114909276,0.203035533,0.230123609,0.313533098,0.325177133,0.299640745,0.284209669,0.280187517,0.24607715,0.232907981,0.227733627,0.217886329,0.002075044
