,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
1787,0.0,0.003063425,1.242493522,2.925256948,7.605547935,21.36123177,30.55326932,38.3074521,49.00928982,53.8027412,56.97524912,63.18654238,69.25968645,72.01124718,88.23580332,77.20524584,85.87906856,0,0.008847868,0.004128136,0.006276668,0.023709204,0.053690698,0.12507014,0.158931062,0.238351718,0.199125439,0.253229558,0.300674975,0.355876744,0.322010785,0.456385851,0.329436362,0.55191797,-0.021244369,-0.014734923,-0.008543235,0.003724881,0.0386752,0.06317044,0.093116321,0.141120911,0.120424904,0.114136361,0.120530859,0.145475939,0.129189953,0.188680768,0.182601377,0.245164394,0.044393912,5
1788,0.0,0.000612685,1.364136414,4.645829794,10.08260936,24.35754326,36.66361081,40.98050133,50.93264882,52.2612201,59.41198603,64.99743688,68.16029144,67.48089283,84.85871441,74.36158241,80.03774806,0,0.010573325,0.005844129,0.005407832,0.024314059,0.066337235,0.132126585,0.1586615,0.230855078,0.200016409,0.215264097,0.259732634,0.3194637,0.310231507,0.446214378,0.30896911,0.500422299,-0.020698238,-0.016882988,-0.004977911,0.013416264,0.046648551,0.082899734,0.103137143,0.157615483,0.123970732,0.113056727,0.118666351,0.140553221,0.110488616,0.176987484,0.177710623,0.221573755,0.032591615,5
1789,0.0,0.0,0.887669563,2.066532871,8.45162075,21.48559781,34.80749886,40.86425295,51.36016077,52.26981994,60.19994625,67.77027751,70.27536698,76.14286181,88.68960311,74.3291205,82.1178151,0,0.010641134,0.00429301,0.003376961,0.021147914,0.050392903,0.11565534,0.142240062,0.215058357,0.154536143,0.194735751,0.228607103,0.266339719,0.247183755,0.395416886,0.254908502,0.450618505,-0.018784355,-0.012595261,-0.007773479,0.014243728,0.041858323,0.077089973,0.106544897,0.149621919,0.122099273,0.114004448,0.11799337,0.1324552,0.138083473,0.170012966,0.155609831,0.220921591,0.022609578,5
1790,0.0,0.0,0.557232129,1.856717144,7.052583448,18.46441311,32.13421342,36.92705244,46.26390417,42.82612201,48.69495339,57.85278046,62.69917553,71.538996,84.8013331,70.93685076,80.86262119,0,0.011000977,0.001033068,0.005045788,0.023526818,0.044045009,0.109270431,0.132805392,0.191546157,0.144004345,0.185693219,0.209025383,0.237479582,0.227268934,0.35624215,0.242011622,0.430792153,-0.016965574,-0.013226982,-0.002521141,0.018089188,0.036634795,0.070538178,0.095262647,0.131178394,0.100562364,0.095278151,0.103615679,0.111955047,0.128664747,0.168440551,0.155703083,0.220867947,0.033975456,5
1791,0.0,0.0,0.531719839,1.368971599,6.924554184,17.37727196,29.27907331,34.54085523,38.77398851,30.63155066,30.39613007,47.66969969,51.75184828,63.18829251,79.52545298,62.76185942,75.09630367,0,0.012209963,0.002004351,0.003609239,0.020937508,0.057250842,0.108899452,0.144418955,0.16829057,0.120206617,0.200543866,0.194743782,0.21058102,0.206976429,0.338587165,0.248567119,0.405947149,-0.014584208,-0.011844181,-0.005359108,0.02092196,0.035554986,0.062571064,0.093130611,0.10399536,0.077514112,0.061985899,0.086151876,0.096024387,0.115666069,0.172360778,0.15334481,0.215865016,0.035291269,5
1792,0.0,0.0,0.427983539,1.70715135,8.623122301,19.14266301,29.91076885,33.88605802,38.14638271,30.91319538,26.8948891,46.14164792,49.36242471,64.59201841,82.19464162,67.44506688,79.28605436,0,0.012115347,0.004006177,0.004654132,0.026144212,0.054221757,0.104761817,0.131179616,0.141846716,0.105716176,0.130337551,0.136287183,0.147100821,0.189225212,0.339267343,0.245055169,0.430218309,-0.014230823,-0.00952209,-0.003116488,0.026949152,0.037015356,0.065229051,0.091766082,0.099927276,0.080281071,0.060031511,0.08565928,0.091866083,0.120461181,0.18553181,0.16998288,0.238039568,0.039754182,5
1793,0.0,0.00490148,2.540466392,6.175272152,17.58329523,30.03223256,45.34186862,46.96546871,51.73572913,37.6640688,34.74227358,60.51323262,61.95114111,78.13830888,95.93075928,79.16810942,88.71656601,0,0.012236508,0.001459253,0.005787502,0.039740391,0.090741739,0.165981293,0.185222983,0.173668087,0.16808711,0.088346057,0.109153695,0.132633358,0.220271528,0.406520545,0.274552941,0.553956151,-0.012468605,-0.002599606,0.002758177,0.053651325,0.061246376,0.109309435,0.122200988,0.138828382,0.097822994,0.084556773,0.117839605,0.122965254,0.140874863,0.222183406,0.217247024,0.272962034,0.047124464,5
1794,0.0,0.0,2.460579391,8.187070486,22.47828075,37.01072581,56.20889867,54.67980296,52.91468036,29.29535071,20.75463585,58.60139263,60.82169251,63.12315442,96.07096635,74.89287569,85.90395602,0,0.01218641,0.003671486,0.005796806,0.048830688,0.109495237,0.214127675,0.194467813,0.167968929,0.170750052,0.098350056,0.111998409,0.1255254,0.193236455,0.366775692,0.243633047,0.560721159,-0.015823293,-0.004213906,0.004467378,0.065668166,0.080371521,0.133106306,0.138565183,0.135148183,0.087219335,0.073743202,0.107588336,0.122116752,0.084790424,0.202132568,0.210543975,0.254828781,0.035386708,5
1795,0.0,0.003063425,2.470964792,8.45952685,22.10849602,35.36060084,52.68891937,50.90049745,48.87756102,20.19242139,12.46437373,49.68713168,56.25736633,45.90824214,84.6076437,66.86504501,78.71364266,0,0.011988479,0.003929696,0.006754812,0.06063851,0.109694764,0.199966133,0.181156859,0.157505304,0.132029653,0.069095984,0.08497785,0.119356707,0.198314786,0.283268422,0.198253632,0.468788505,-0.014286879,-0.006294456,0.0058934,0.064277068,0.077415146,0.12287128,0.123881504,0.121114552,0.071824893,0.06124337,0.08500845,0.111366376,0.056091767,0.167930573,0.17910707,0.226030424,0.033040486,5
1796,0.0,0.000612685,1.707056851,9.100560557,22.47523243,36.73651387,54.21831072,52.59409352,50.30619729,17.22440204,11.03574308,52.32401157,56.99132112,76.90746048,76.79896462,68.09318733,77.55367036,0,0.010894711,0.004710122,0.006871918,0.0596007,0.108660877,0.20979315,0.182628408,0.159151018,0.126529679,0.069151223,0.087268278,0.128400758,0.222416386,0.319804221,0.209297165,0.460020721,-0.013511006,-0.012391213,0.005409519,0.064130321,0.077995613,0.124076873,0.127014101,0.119847871,0.065846138,0.057581075,0.082528725,0.105477177,0.100708045,0.158942074,0.175696403,0.215487525,0.030362586,5
