,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
343,0.348630277,25.26754187,77.18462779,98.13383499,97.20668595,98.9592321,94.41005177,1.715592135,0.144385935,0.294958341,-0.00301735,0.05071735,0.192568585,0.286332577,0.276381731,0.287837178,0.206461549,0.014818243,-0.028333139,-0.047364593,2
345,0.280689443,29.87712879,80.88900833,96.58908895,99.81463624,99.94156856,97.74714335,0.476146929,0.10338746,0.138660828,-0.003422731,0.056871384,0.200237438,0.277766228,0.269989252,0.300305694,0.25862211,0.009794489,-0.027084848,-0.052972943,2
353,0.419572241,37.06193251,89.17817791,98.98091911,99.92285439,99.99460742,97.54912569,0.608443835,0.226236088,0.17229246,-0.00768292,0.060225096,0.208859488,0.288086563,0.257266372,0.276724458,0.227385938,0.016806548,-0.032691643,-0.055835687,2
354,0.494500686,36.51833409,87.37866165,98.90567052,99.69034608,99.78899758,94.63945637,0.768175583,0.154092553,0.231101381,-0.005927383,0.060579762,0.200377867,0.289136797,0.250575453,0.261477023,0.215450674,0.016824227,-0.023299992,-0.046277039,2
364,0.211046207,20.53961068,73.37489922,95.85342334,95.78056359,97.08924861,91.34998269,2.305746075,0.114334367,0.172534675,-0.003325788,0.034254793,0.188273787,0.294734359,0.254830152,0.262626529,0.218001395,0.024711009,-0.024138723,-0.046148889,2
365,0.441501104,25.03817139,86.49825316,98.80317154,99.08368576,99.79873615,97.98952562,2.59411675,0.188672377,0.232281664,-0.003427139,0.042480178,0.227852434,0.32558316,0.278972775,0.270930946,0.250919789,0.02145754,-0.026716739,-0.049399693,2
366,0.310217736,20.90810321,74.39613007,99.09009355,95.72920672,97.06111496,95.85894217,0.91998171,0.17515052,0.386790732,-0.003762651,0.04560655,0.191928238,0.334319592,0.29800269,0.290554166,0.253059119,0.00656902,-0.031424984,-0.049327228,2
376,0.093357062,30.7555455,86.11126041,98.90213166,99.92524243,99.96212777,97.90512465,0.437128487,0.186245723,0.206675812,-0.013094832,0.049089685,0.196257412,0.279164642,0.257216215,0.276647747,0.22074914,0.011161679,-0.032508556,-0.055195726,2
377,0.50422538,36.49952568,89.5200215,99.45140898,99.93592208,99.98813632,97.56535665,0.741350404,0.245697257,0.179407651,-0.006267287,0.058708418,0.207905963,0.291290224,0.257503361,0.270205349,0.215506673,0.015163993,-0.02738029,-0.058690641,2
378,0.516699334,33.79221367,85.34587476,98.43244402,99.7661156,99.9015322,93.91339162,1.219326322,0.154092553,0.192043896,-0.007134696,0.053257223,0.194887802,0.282301247,0.254967749,0.265786976,0.215613335,0.022053279,-0.023823487,-0.047716554,2
387,0.170070513,23.28836578,78.18973394,96.45471647,93.80900508,95.98468507,91.72023296,2.641060814,0.110077237,0.261545496,-0.006818327,0.042105377,0.202374622,0.316408277,0.274059564,0.262550175,0.21184136,0.020843441,-0.022280417,-0.044789735,2
388,0.295630695,24.16659122,81.08357968,95.2958882,94.14336226,96.8852459,94.01402355,1.991769547,0.10608139,0.178631306,-0.002404948,0.044030305,0.208584949,0.294793516,0.261875093,0.26062867,0.211329862,0.013553457,-0.026759133,-0.047619764,2
389,0.556993114,24.08230564,80.70626176,98.57135179,97.42193174,98.92687662,97.73740478,1.572930956,0.147783251,0.238378296,-0.001998774,0.050473753,0.209356457,0.325506002,0.301865816,0.282866776,0.228956029,0.011510669,-0.027427187,-0.05087775,2
400,0.156913196,30.53689452,86.64445042,99.02925104,99.91669871,99.99245039,98.19944598,0.545038866,0.164811774,0.243255601,-0.011657659,0.048731543,0.198215649,0.280161411,0.258035481,0.278566867,0.2227557,0.014509572,-0.029105894,-0.051738381,2
401,0.685155135,33.62515246,90.23810804,99.62268207,99.9444658,99.98602526,97.52748442,0.986434995,0.185337601,0.267591072,-0.010201421,0.053693254,0.211883783,0.296113849,0.253020763,0.266806841,0.216019318,0.016284302,-0.026906064,-0.045973811,2
402,0.46289543,35.10728837,85.80059124,99.01101854,99.64009569,99.8921484,93.14620845,0.690748362,0.199476981,0.265813138,-0.009339878,0.05924977,0.196064174,0.28636992,0.243527547,0.257917464,0.202194989,0.010218432,-0.02216085,-0.045099471,2
412,0.36241728,24.33934137,74.84117173,93.93173878,96.42558663,98.69178497,95.11863676,1.151044048,0.119199659,0.112178022,-0.003060048,0.0538048,0.193551078,0.277107418,0.285891652,0.279077739,0.234208211,0.011267514,-0.02552004,-0.051702395,2
413,0.438583696,25.26088505,79.23246439,97.89948938,98.37776069,99.50766101,97.92277826,0.946197226,0.087359557,0.178631306,-0.006055065,0.051110979,0.199339986,0.303620964,0.304018795,0.298481941,0.252914369,0.010118151,-0.033836309,-0.059801884,2
423,0.247918648,31.35203505,84.99005644,98.43052943,99.63475586,99.90802458,98.01773717,0.705380277,0.30393846,0.354214297,-0.008380825,0.04738247,0.187129885,0.271247923,0.25158906,0.265961647,0.214365005,0.010146304,-0.03154029,-0.056036811,2
424,0.204704807,30.53982021,87.86885246,99.176042,99.82271776,99.98485111,98.88912856,1.197378448,0.212938921,0.251790886,-0.008910609,0.047854125,0.200106964,0.279097497,0.249543592,0.265530795,0.218772054,0.021100191,-0.029705381,-0.050837848,2
425,0.497904328,34.00363323,90.84117173,99.52485891,99.94232987,99.96440897,97.67148404,1.369913123,0.257252326,0.229276896,-0.010448576,0.054942477,0.211975843,0.292698532,0.249154791,0.256999701,0.210306987,0.017668569,-0.025763359,-0.052043393,2
426,0.583651924,35.58386412,85.45982263,99.03036818,99.69349396,99.74030471,94.28062985,0.9333943,0.161979179,0.25849718,-0.006740539,0.059500955,0.191033974,0.285018176,0.239123851,0.260525286,0.207900867,0.011686735,-0.027178915,-0.044096958,2
435,0.410800696,18.97283839,73.45444773,98.89210329,94.17104532,97.11521814,95.96931267,0.876420975,0.117055327,0.26272578,-0.00427654,0.047391761,0.192262918,0.3697595,0.280042887,0.31205222,0.263072222,0.014686889,-0.023670152,-0.044569891,2
436,0.158998746,22.89814396,72.67293738,98.17145929,97.46999017,98.76617774,98.54462431,0.959609816,0.079060999,0.267032465,-0.004108135,0.051520459,0.183144316,0.331016839,0.299710274,0.319676876,0.26020363,0.014478803,-0.026564641,-0.046400506,2
448,0.264120969,29.12222725,81.20612739,97.35554958,99.7137853,99.83985457,97.90512465,0.499314129,0.259716507,0.581008993,-0.005028247,0.044441938,0.184720308,0.272705674,0.25229767,0.27561447,0.224219829,0.005728119,-0.031140391,-0.056940243,2
450,0.187613604,32.98098687,89.03843053,99.50069645,99.90922295,99.98268698,98.13776835,0.95473251,0.15508119,0.266422801,-0.009098946,0.055012029,0.198207632,0.288966745,0.246871158,0.259751052,0.208637863,0.018951416,-0.03221615,-0.056284565,2
462,0.242192107,20.36306021,75.56033324,98.47101682,96.56328762,98.93957756,98.58790686,1.157362023,0.105820106,0.200198986,-0.008385877,0.051648617,0.192579359,0.356164277,0.292552799,0.330986023,0.290828824,0.017056515,-0.027291378,-0.051618926,2
463,0.301465511,24.99456768,74.80032249,96.0322494,98.54649921,99.74870578,99.33885907,1.753453123,0.080686258,0.22684425,-0.00814375,0.054185037,0.185880408,0.307638109,0.294006288,0.322206467,0.264038503,0.019312695,-0.026668087,-0.04729696,2
475,0.280202135,27.84653689,78.80247245,96.40634238,99.67961041,99.96537396,97.43118075,0.784133969,0.264550265,0.4378763,-0.004450626,0.041092835,0.176753327,0.257653683,0.242645875,0.265327066,0.21857743,0.009568254,-0.028276991,-0.058185883,2
