FID,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19
1116,1.747074463,34.22272522,83.45283526,97.44262295,99.80029049,99.6807912,72.74698016,0.041457095,0.118591498,0.337753391,-0.002860506,0.058177285,0.174758911,0.237464637,0.211294323,0.212205604,0.133950591,-0.01798328,-0.03663541,-0.059439152
1117,1.409108148,32.85785423,74.16608439,92.63580842,98.53581956,99.0845741,85.69944598,0.066453285,0.082101806,0.247523243,-0.00456316,0.058682129,0.152895197,0.222261876,0.205639452,0.218513682,0.160716712,-0.002998766,-0.030019425,-0.043892201
1118,1.404732036,38.37285992,77.9467885,93.00940607,98.88290828,99.19758412,78.29813019,0.064624295,0.14083219,0.324150094,-0.007587884,0.070430085,0.165589288,0.234445393,0.215089157,0.215048388,0.150377646,-0.00361688,-0.03195183,-0.045002762
1119,1.757748064,41.11317338,82.32303144,96.71056168,98.45892605,97.94516101,56.42637639,0.046944063,0.150824059,0.275567749,-0.002634061,0.083104685,0.173474804,0.246272057,0.219672605,0.193698794,0.097260304,-0.009340742,-0.041441794,-0.048552342
1120,2.299403876,44.79311906,86.5971513,98.80999731,99.66999872,98.32063712,56.08067299,0.020728547,0.157293096,0.28349337,-0.002461173,0.092805989,0.176660225,0.250401706,0.226496458,0.192038521,0.096353419,-0.014100542,-0.05157923,-0.055384781
1121,1.735857864,43.95337257,84.31711905,96.84708412,98.91031823,97.14984418,52.0158847,0.018289895,0.179407651,0.199969517,-0.002381582,0.091283172,0.169877976,0.239248112,0.228329241,0.176386252,0.091457412,-0.019112635,-0.047461323,-0.059458345
1122,2.556327505,46.82341781,85.74254233,98.45601629,99.11465676,96.99294494,55.62997749,0.058527663,0.291309372,0.363359244,0.001545196,0.096670955,0.173460543,0.245548844,0.234758154,0.176300541,0.098305389,-0.020535382,-0.048010547,-0.057360891
1123,2.814812654,45.16613852,85.10507928,98.54877721,99.51193985,99.30220017,79.25142832,0.075598232,0.256058528,0.432251181,0.000988433,0.095343739,0.181042969,0.269449919,0.244672671,0.214642808,0.146594018,-0.016227007,-0.047361903,-0.055225804
1124,1.523899164,40.41466727,83.67643107,98.41010481,99.50553206,99.7554536,84.68183779,0.064014632,0.202517789,0.217113665,-0.006542918,0.079522491,0.176070586,0.255470842,0.231225342,0.221694961,0.148957968,-0.017203767,-0.040902283,-0.05141959
1125,1.349301281,37.53644183,83.36898683,98.30260683,99.31863813,99.40161877,65.79163781,0.048282606,0.162987289,0.149977138,-0.003195128,0.071617246,0.175320864,0.250898689,0.23339498,0.218740344,0.1246306,-0.016383905,-0.035784867,-0.048492525
1126,1.204403341,38.32316935,83.58720774,98.23703306,99.32504592,97.86400623,40.27224723,0.054260021,0.193872885,0.20057918,-0.003485252,0.073757261,0.179291159,0.242538854,0.225399256,0.194084331,0.091765106,-0.019096183,-0.03363163,-0.043535903
1127,1.052805216,34.81530104,81.24160172,97.20561449,99.11465676,98.60332183,54.38776835,0.068891937,0.175758682,0.295686633,-0.005977373,0.064529002,0.169019103,0.229641438,0.219297484,0.201797992,0.11292664,-0.009877878,-0.034495875,-0.039424326
1128,0.114751388,19.97691263,66.50040312,92.91405015,96.89756077,98.05543572,93.66264021,2.010059442,0.072371222,0.251181222,-0.00713077,0.031777479,0.160664335,0.265993714,0.302362591,0.308725297,0.255753845,0.024258208,-0.027647678,-0.06209673
1129,0.191999376,18.93888061,66.09406074,96.49737491,92.14191123,94.85729643,94.4717365,2.75994513,0.058846369,0.224965706,-0.011755506,0.031061461,0.152223468,0.300918311,0.273156643,0.277434975,0.252065301,0.029924449,-0.024709659,-0.050916839
1130,0.297575634,28.24128565,78.11878527,98.92960463,99.41475501,99.7907679,94.57994287,2.898338668,0.121632306,0.24874257,-0.007571016,0.050485481,0.187269196,0.336928815,0.298254639,0.306507409,0.234807491,0.02625207,-0.024233565,-0.051887766
1131,0.280689443,34.72249887,86.92072024,99.63034394,99.65077534,99.84253667,97.37058518,3.862216126,0.243272101,0.286541686,-0.007829278,0.0607953,0.206178248,0.332014799,0.283505499,0.281971723,0.230725959,0.027575498,-0.018048167,-0.048235998
1132,0.355734885,37.15255772,91.08519215,99.75999143,99.89961126,99.94930975,97.39754098,1.004115226,0.180179087,0.254211519,-0.006136772,0.067393757,0.227241382,0.32949701,0.28108266,0.267493695,0.211298615,0.006342199,-0.025105586,-0.055132724
1133,0.171154613,31.32718977,88.11287288,99.12320048,99.31211829,99.78645384,95.12854917,0.961438805,0.14717509,0.292638317,-0.008276328,0.059647579,0.211965248,0.31617564,0.26093629,0.257651806,0.187533483,0.005662262,-0.023905611,-0.055572521
1134,0.214415547,34.04255319,85.94571352,99.10425372,99.90922295,99.92797635,99.31288954,2.876390794,0.242058774,0.679164761,-0.007502737,0.067519069,0.208712146,0.305053711,0.259487212,0.25942263,0.189428568,0.017312877,-0.026402635,-0.053939682
1135,0.41226262,33.47397012,86.34775598,99.27997428,99.88359178,99.91479724,99.00450139,2.661179698,0.280362464,0.473708276,-0.005510634,0.065061577,0.200006843,0.288274229,0.250030488,0.250011533,0.184194386,0.017984839,-0.027785696,-0.054335311
1136,0.443446043,32.42281575,83.41951088,98.89853209,99.48951258,99.9525453,98.27761001,1.775948788,0.156519207,0.299344612,-0.005512029,0.061637443,0.186412469,0.267661661,0.232002914,0.25702095,0.175791666,0.015050555,-0.026085883,-0.049937759
1137,0.943428407,31.88553101,85.26740124,99.24247295,99.46281345,99.90185505,97.30566136,1.747904283,0.113446092,0.285932023,-0.001813171,0.058283024,0.197166041,0.277659744,0.22885412,0.26153785,0.166845426,0.015761914,-0.026739493,-0.043518718
1138,0.575023513,29.16432775,81.10615426,99.09543338,99.66999872,99.9795082,99.22740651,1.670944872,0.215289181,0.192179043,-0.001146414,0.052004032,0.185011864,0.28103295,0.240657985,0.256251007,0.175234139,0.017198637,-0.019163923,-0.045992453
1139,0.446849685,33.76595745,81.76941682,99.65177328,99.84194113,99.93765117,98.91901835,2.033226642,0.220825548,0.285932023,-0.0007521,0.059810694,0.180291012,0.259430617,0.240007892,0.237406924,0.174588263,0.019483501,-0.016931864,-0.046750385
1140,0.521419626,31.9443187,85.39962376,99.11068252,98.81135461,99.34749784,95.61691113,0.819996952,0.126186027,0.149977138,-0.001518249,0.059495986,0.180544838,0.238850221,0.222653955,0.218378961,0.158210337,0.010350678,-0.019349726,-0.051192135
1141,0.732269452,31.29606157,82.46062886,99.56819886,99.8189221,99.92126833,98.26112361,0.712086572,0.124064952,0.309099223,-0.002542075,0.057528723,0.169638112,0.239324003,0.22977221,0.218592182,0.165258422,0.008882009,-0.024327168,-0.050141525
1142,0.650068954,32.58029543,81.56839559,98.93496196,99.27698748,99.50172563,96.35452735,0.546867856,0.239025456,0.529797287,-0.004369386,0.057305418,0.166052446,0.231649324,0.219364941,0.20876281,0.150648549,-0.001362825,-0.030578937,-0.053480465
1143,0.624728935,33.65142598,83.64095673,98.96620958,99.38591995,99.42407248,92.2978705,0.252400549,0.207991242,0.546129052,-0.004136039,0.057147395,0.17776376,0.226790115,0.211085722,0.201895148,0.138732076,-0.00740217,-0.031235255,-0.057684753
1144,0.36029991,38.69986419,84.05804891,97.85813779,99.31863813,98.39290513,71.06341674,0.120713306,0.106166129,0.355433623,-0.006909532,0.068012618,0.178826302,0.234296396,0.197714314,0.183681682,0.116005965,-0.007004071,-0.02892375,-0.049841393
1145,0.511673465,38.07424174,83.71083042,97.4991964,99.66893075,99.15336497,81.99987015,0.219478738,0.089179548,0.393232739,-0.008955559,0.071074158,0.175464049,0.239514649,0.196750268,0.195764512,0.136814445,-5.88E-05,-0.027169472,-0.048530951
1146,0.697337836,36.27636988,84.28701962,98.27065252,99.80990217,99.16307161,78.56864612,0.228623685,0.128930244,0.424935223,-0.003736106,0.069952287,0.178599477,0.238789827,0.193247482,0.192152306,0.137137175,-0.002980838,-0.026870409,-0.04758111
1147,0.508115257,33.68175645,81.18785273,96.8531019,99.55465846,98.88373598,65.02986496,0.086572169,0.099492829,0.228623685,-0.005320278,0.06372159,0.17261301,0.229612768,0.189994574,0.180899665,0.115394801,-0.007267492,-0.033898499,-0.052065115
1148,1.33230024,34.98370303,83.73662994,98.43436285,99.74582426,98.42644521,58.10073339,0.044505411,0.082506249,0.257887517,-0.001753237,0.064893521,0.173359647,0.240373105,0.1946619,0.178959727,0.105728425,-0.012096789,-0.037089355,-0.053818967
1149,1.395650288,32.29153463,82.59500134,98.07243116,99.7867781,99.39156141,74.97186634,0.051821369,0.10338746,0.245089096,0.000901931,0.055972274,0.1730299,0.247949705,0.197822973,0.193032265,0.124933533,-0.011391987,-0.037518162,-0.061492488
1150,0.970038218,30.57053801,83.82155335,98.34351227,99.72873681,99.44887834,80.4059903,0.069673634,0.17896576,0.358481939,-0.005163679,0.051411767,0.177723184,0.25300321,0.198602021,0.203898624,0.145670295,-0.010543336,-0.039917201,-0.061881669
1151,1.212909765,32.22272522,85.42542327,97.98671381,99.64009569,99.37122519,72.7276662,0.068282274,0.252995196,0.362139918,-0.007488673,0.053037371,0.183883876,0.248690754,0.208016723,0.208137482,0.136521071,-0.016256467,-0.038869683,-0.059412327
1152,2.178331437,34.16976007,82.81429723,97.67277403,99.74902815,99.68507334,83.20534944,0.059137327,0.146205926,0.221917391,-0.000933494,0.056065843,0.17512092,0.246161088,0.214332148,0.222344339,0.158649042,-0.008660576,-0.037539609,-0.056646984
1153,1.307447529,34.73200543,79.20128998,95.57328378,99.47562903,97.76962899,65.33500693,0.040847432,0.108592783,0.232891328,-1.28E-05,0.060665853,0.166470587,0.235595986,0.209836051,0.201436669,0.124896944,-0.013004503,-0.035185069,-0.047869924
1154,1.301112524,38.1551249,81.44047299,95.71306118,99.44465804,98.22628326,71.16083795,0.050602042,0.182448458,0.333880679,-0.008845827,0.069701634,0.177221835,0.246093735,0.217675731,0.200514317,0.135923013,-0.009584229,-0.030172985,-0.047824401
1155,2.106854937,42.07650521,82.99059393,97.04810886,98.99718057,95.09922347,45.46615305,0.0115836,0.221432211,0.261545496,-0.003232111,0.084430188,0.172489837,0.246054962,0.221635297,0.168705299,0.080557093,-0.01447876,-0.03982592,-0.050181042
1156,2.283038268,44.01222273,86.36065574,99.1663988,99.77679525,95.28257118,43.90638481,0.012802926,0.200693304,0.162780064,-0.003767912,0.090879604,0.177365795,0.259811819,0.225640923,0.170398667,0.079248376,-0.020621715,-0.050637405,-0.063951224
1157,2.100297745,41.34404708,82.8852459,96.6816672,98.83424408,96.31471096,67.66901835,0.017680232,0.192919023,0.264593812,-0.002706639,0.08376728,0.169482544,0.247945517,0.224180132,0.182829946,0.112010173,-0.017145015,-0.048189871,-0.055553246
1158,3.298616176,49.46289018,85.98548777,98.46960571,99.52155154,97.97778257,62.35175727,0.056089011,0.434371133,0.550525834,0.001163323,0.107742548,0.174211681,0.247370809,0.235393211,0.186205581,0.109416299,-0.017563134,-0.041302584,-0.052664548
1159,1.348381406,42.49615211,85.07927976,98.54173363,99.54077492,99.573233,82.53549169,0.168876696,0.423280423,0.397500381,-0.003452816,0.086087912,0.177638933,0.26216501,0.23516342,0.218212172,0.152769238,-0.010916454,-0.033791445,-0.052581776
1160,0.6306464,41.35491172,86.4907283,98.83745848,99.75223205,99.81125971,85.28796376,0.150586801,0.261472009,0.175758682,-0.005479281,0.082655698,0.180544481,0.25494352,0.232328296,0.228359491,0.154320896,-0.007189428,-0.036345374,-0.051291153
1161,1.352279871,40.50203712,82.68852459,98.41530055,99.63795976,98.85461605,66.69732514,0.060506051,0.243272101,0.190824569,-0.004742604,0.081498787,0.170375973,0.253198445,0.236401647,0.215496257,0.128679797,-0.019503694,-0.041271951,-0.051430609
1162,1.042351944,37.96720423,80.73098629,97.06846673,98.56999445,98.51811907,62.89603532,0.065843621,0.228060573,0.186556927,-0.005957904,0.073778287,0.167290866,0.233635008,0.220706925,0.204304531,0.124510884,-0.016889341,-0.03158747,-0.04116204
1163,0.903424065,35.50611136,80.31926901,97.48600965,99.08795762,99.51303413,76.77350242,0.110958695,0.20929894,0.198750191,-0.008885723,0.065937184,0.165285945,0.226241007,0.212978527,0.221955135,0.152283043,-0.008077125,-0.029788906,-0.04298019
1164,0.062238041,23.7358269,70.8959957,96.37415622,98.83484984,99.77709488,95.40768611,2.323426307,0.099738491,0.318676641,-0.010962288,0.039531972,0.167687207,0.29544276,0.315301716,0.31631875,0.266939074,0.025415638,-0.034279041,-0.058143828
1165,0.20369477,24.30479488,71.93550121,96.84385918,91.90695886,94.28494392,85.18334771,1.809480262,0.084932903,0.252387034,-0.008566979,0.042202748,0.166529983,0.303720981,0.276400387,0.28248018,0.209824115,0.01480809,-0.027390879,-0.051230498
